Delivery Challan ID,Challan Date,Delivery Challan Number,Challan Type,Status,Invoice Status,Customer ID,Customer Name,Customer Number,Place of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,Product ID,SKU,Kit Combo Item Name,Account,Item Desc,QuantityOrdered,QuantityInvoiced,Usage unit,Item Price,Discount,Discount Amount,HSN/SAC,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Tax Exemption Reason,Item Type,Item Total,SubTotal,Total
1577805000000059034,2024-05-19,DC-00001,Supply on Approval,Delivered,Invoiced,1577805000000059003,PRANJAL KRUSHI SEVA KENDRA ( Basamba),CUS-3,MH,business_gst,27CPNPD6579K1Z5,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,30,30,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,2865.00,Tax Group,,,goods,57300.00,57300.00,60165.00
1577805000000059081,2024-05-19,DC-00002,Supply on Approval,Delivered,Invoiced,1577805000000059046,PANGARKAR KRUSHI KENDRA ( Kalamnuri),CUS-4,MH,business_gst,27GFGPS4397P2Z7,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,20,20,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,1910.00,Tax Group,,,goods,38200.00,58900.00,61845.00
1577805000000059081,2024-05-19,DC-00002,Supply on Approval,Delivered,Invoiced,1577805000000059046,PANGARKAR KRUSHI KENDRA ( Kalamnuri),CUS-4,MH,business_gst,27GFGPS4397P2Z7,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (25 Kg),1577805000000034117,,,Sales,,20,20,,1035.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,1035.00,Tax Group,,,goods,20700.00,58900.00,61845.00
1577805000000059119,2024-05-19,DC-00003,Supply on Approval,Delivered,Invoiced,1577805000000059093,Lakhkar Krushi Kendra ( Kalamnuri),CUS-5,MH,business_none,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,25,25,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,2387.50,Tax Group,,,goods,47750.00,47750.00,50137.50
1577805000000059129,2024-05-19,DC-00004,Supply on Approval,Delivered,Invoiced,1577805000000034029,SHETKARI KRUSHI VIKAS KENDRA ( Metha),CUS-2,MH,business_gst,27AMPPL9148K1Z8,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,15,15,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,1432.50,Tax Group,,,goods,28650.00,28650.00,30082.50
1577805000000059169,2024-05-19,DC-00005,Supply on Approval,Delivered,Invoiced,1577805000000059139,Sarwagya Krushi Kendra ( Hingoli),CUS-6,MH,business_none,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,10,10,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,955.00,Tax Group,,,goods,19100.00,19100.00,20055.00
1577805000000059179,2024-05-19,DC-00006,Supply on Approval,Delivered,Invoiced,1577805000000034001,Baliraja Krushi Kendra (Khanapur),CUS-1,MH,business_none,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,7,7,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,668.50,Tax Group,,,goods,13370.00,13370.00,14038.50
1577805000000059222,2024-05-20,DC-00007,Supply on Approval,Delivered,Invoiced,1577805000000059191,"KRUSHI MITRA KRUSHI KENDRA, SHIMBAL PIMPRI",CUS-7,MH,business_gst,27EEWPK2820C1ZF,false,Standard Template,INR,1.00,entity_level,true,0.0,30.00,Nutrisac Kit - (25 Kg),1577805000000034117,,,Sales,,10,10,,1035.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,362.26,Tax Group,,,goods,7245.00,7245.00,7607.26
1577805000000079040,2024-05-23,DC-00008,others,Delivered,Invoiced,1577805000000079003,OM KRUSHI KENDRA ( Shirad Shahapur),CUS-10,MH,business_gst,27AMMPJ8004F1Z3,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,15,15,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,1432.50,Tax Group,,,goods,28650.00,28650.00,30082.50
1577805000000087001,2024-05-24,DC-00009,others,Delivered,Invoiced,1577805000000059191,"KRUSHI MITRA KRUSHI KENDRA, SHIMBAL PIMPRI",CUS-7,MH,business_gst,27EEWPK2820C1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (50 Kg),1577805000000034104,,,Sales,,10,10,bag,1910.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,955.00,Tax Group,,,goods,19100.00,45500.00,47775.00
1577805000000087001,2024-05-24,DC-00009,others,Delivered,Invoiced,1577805000000059191,"KRUSHI MITRA KRUSHI KENDRA, SHIMBAL PIMPRI",CUS-7,MH,business_gst,27EEWPK2820C1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (25 Kg),1577805000000034117,,,Sales,,20,20,,1035.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,1035.00,Tax Group,,,goods,20700.00,45500.00,47775.00
1577805000000087001,2024-05-24,DC-00009,others,Delivered,Invoiced,1577805000000059191,"KRUSHI MITRA KRUSHI KENDRA, SHIMBAL PIMPRI",CUS-7,MH,business_gst,27EEWPK2820C1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Nutrisac Kit - (10 Kg),1577805000000034126,,,Sales,,10,10,,570.00,0.00,0.0,31039000,Taxable,1577805000000030165,GST5,5.000000,285.00,Tax Group,,,goods,5700.00,45500.00,47775.00
